I0.phi_h X,I0.phi_h Y
0.0001024813779433958,-0.001412475071118783
0.0001024814181438938,-0.00152767864862572
0.0001024814339881372,-0.001609459177994496
0.0001024814512409177,-0.001770220997462857
0.0001024814668715037,-0.002007644631621968
0.0001024814823353136,-0.002354081974415796
0.0001024814925951029,-0.002612558127132201
0.0001024815030881532,-0.002837167772446811
0.0001024815113022416,-0.002938349964603394
0.0001024815184958173,-0.002954116117627539
0.0001024815270536401,-0.002887365342741367
0.0001024815392188035,-0.002684979060227639
0.0001024815480996308,-0.002495536478523121
0.0001024815562727842,-0.002314148835574808
0.0001024815652401192,-0.002119441170958506
0.0001024815767896713,-0.001883971465549051
0.000102481592561705,-0.001591067565162197
0.0001024816122103778,-0.001254359219298611
0.0001024816329409303,-0.0009161196255041964
0.0001024816562669827,-0.0005333359630269206
0.0001024816799883317,-0.0001170597988767141
0.0001024817039544818,0.0003471312695183089
0.0001024817322715087,0.001001009362065432
0.0001024817545601336,0.001617543181401774
0.0001024817793739048,0.002430655011333101
0.0001024818062826653,0.003491648569505177
0.0001024818322509212,0.004721321671614361
0.0001024818585961568,0.006205296239892467
0.000102481885932005,0.008028762517127341
0.0001024819143905093,0.01026953104722177
0.000102481944052504,0.01301722887182878
0.0001024819749127895,0.0163693660115973
0.0001024820068863783,0.02042907262802649
0.0001024820396985369,0.02528382172101377
0.0001024820729423923,0.03099701747227326
0.0001024821061414601,0.03760255619794146
0.0001024821388713922,0.04511861024168316
0.0001024821708012498,0.05355890717063367
0.0001024822016968172,0.06294157558908116
0.0001024822314027132,0.07329398822107254
0.0001024822598133238,0.08465267805817539
0.0001024822868183764,0.09704128978289288
0.0001024823124498628,0.1105496403508356
0.0001024823365457883,0.1251631926012427
0.000102482359093544,0.1409293872771325
0.0001024823800869748,0.1578936541064378
0.0001024823995307404,0.1760966450714641
0.0001024824174810448,0.1956116180463704
0.0001024824340482698,0.2165690021340093
0.000102482449392921,0.239184237966164
0.0001024824637248944,0.2637961168402072
0.0001024824773466187,0.2909973336262218
0.0001024824907735211,0.3220420589106205
0.0001024825049252873,0.3597625878779599
0.0001024825216009073,0.4110193399949504
0.000102482546745957,0.5018188635587956
0.0001024825777005148,0.6341172251643934
0.0001024826035252385,0.7601919717925167
0.0001024826296114896,0.9003684910879813
0.0001024826572103363,1.060608783514281
0.0001024826848930908,1.230400696138283
0.0001024827102261374,1.386765536311364
0.0001024827217335483,1.452951933339845
0.0001024827335840831,1.510776297967076
0.0001024827435651619,1.548904988362911
0.0001024827549023325,1.582460554582446
0.0001024827682140365,1.612936486189578
0.0001024827798669004,1.634330739574865
0.0001024827927049233,1.654083744350664
0.0001024828082491235,1.674215508019346
0.0001024828274814832,1.694821701810794
0.0001024828517784363,1.715676446712073
0.0001024828795073871,1.734237652379225
0.0001024829080524682,1.749091576095284
0.0001024829422377003,1.762769872521379
0.00010248298568169,1.775326543691529
0.0001024830387912506,1.785097168332727
0.0001024831024701516,1.791161580870401
0.0001024831714920056,1.793900147092857
0.0001024832420038102,1.795096747183655
0.0001024833212069958,1.796033456024021
0.0001024834025573315,1.797002850498704
0.0001024834898299751,1.797903721092727
0.0001024835838821431,1.798538288314449
0.0001024836784225261,1.798892463535076
0.0001024837712808983,1.799097600744317
0.0001024838774820876,1.799266042150438
0.0001024840104587267,1.799424811372963
0.0001024841769064173,1.799565222306965
0.000102484375101672,1.799675350002988
0.0001024846045784799,1.799757120989377
0.000102484873229681,1.799818356246018
0.000102485192968114,1.799864490037447
0.0001024855777172232,1.799899101467762
0.0001024860457392374,1.799925453404285
0.0001024865801838589,1.799945044880427
0.0001024872153395448,1.799961535040457
0.0001024879244985346,1.79997499685421
0.00010248871494903,1.799985581189579
0.0001024896088634403,1.799993058287175
0.0001024906345787927,1.799997371748649
0.0001024918344744641,1.799999255975427
0.0001024931571389438,1.799999749032131
0.0001024945486380631,1.799999847227696
0.0001024961260773213,1.79999990051746
0.0001024977577693823,1.799999928627279
0.0001024995000672887,1.799999945924255
0.0001025015327205336,1.799999958751265
0.0001025040427522553,1.799999968060402
0.0001025070741498569,1.799999973486282
